trace_id,trace_ko,trace_category,definition,field_use,tags
blackened_blood_spatter,검게 변색된 혈흔,생체 흔적,검게 변색된 상태의 교전이나 포식 과정에서 흩뿌려진 혈액 흔적,피해 규모와 방향 추정,bio;blood;blackened
blackened_scraped_stone,검게 변색된 석벽 긁힘,물리 흔적,검게 변색된 상태의 석벽 표면을 반복적으로 긁은 흔적,등반·영역 표시 추정,physical;scratch;blackened
blackened_broken_bone,검게 변색된 골편,사체 흔적,검게 변색된 상태의 부러진 뼈 조각이 흩어진 흔적,포식 또는 언데드 추정,corpse;bone;blackened
blackened_skin_flake,검게 변색된 피부 조각,생체 흔적,검게 변색된 상태의 벗겨진 피부나 외피 조각,변이·탈피 추정,bio;skin;blackened
blackened_scale_shed,검게 변색된 떨어진 비늘,생체 흔적,검게 변색된 상태의 탈락한 비늘이나 갑각 조각,파충류·드래곤·괴수 추정,bio;scale;blackened
blackened_feather_scatter,검게 변색된 흩어진 깃털,생체 흔적,검게 변색된 상태의 날개 달린 개체가 남긴 깃털,비행 개체 추정,bio;feather;blackened
blackened_hair_clump,검게 변색된 털 뭉치,생체 흔적,검게 변색된 상태의 마찰 지점에 남은 털 뭉치,짐승형 개체 추정,bio;fur;blackened
blackened_mucus_patch,검게 변색된 점액 얼룩,생체 흔적,검게 변색된 상태의 표면에 눌어붙은 점액성 흔적,점액체·기생·양서류 추정,bio;slime;blackened
blackened_soil_discoloration,검게 변색된 토양 변색,환경 흔적,검게 변색된 상태의 토양 색이 비정상적으로 변한 흔적,독성·오염·원소 반응 추정,environment;soil;blackened
blackened_withered_plant,검게 변색된 말라죽은 식생,환경 흔적,검게 변색된 상태의 식물이 갑자기 시들거나 말라죽은 흔적,사령·독성·잔향 추정,environment;plant;blackened
blackened_glass_shard,검게 변색된 유리화 파편,환경 흔적,검게 변색된 상태의 강한 열기나 마법 반응으로 유리화된 파편,화염·역장·번개 추정,environment;magic;blackened
blackened_ash_pile,검게 변색된 재 더미,환경 흔적,검게 변색된 상태의 불타거나 정화된 뒤 남은 재,화염·광휘 추정,environment;ash;blackened
blackened_ice_crack,검게 변색된 얼음 균열,환경 흔적,검게 변색된 상태의 냉기 반응으로 갈라진 얼음 자국,냉기성 위협 추정,environment;cold;blackened
blackened_metal_bend,검게 변색된 휘어진 금속,물리 흔적,검게 변색된 상태의 강한 힘이나 열로 금속이 휘어진 흔적,거대·화염·구조체 추정,physical;metal;blackened
blackened_mind_graffiti,검게 변색된 반복 문구,마법·오염 흔적,검게 변색된 상태의 목격자가 무의식적으로 남긴 같은 문구,정신·공포 영향 추정,magic;psychic;blackened
crystal_blood_spatter,결정화된 혈흔,생체 흔적,결정화된 상태의 교전이나 포식 과정에서 흩뿌려진 혈액 흔적,피해 규모와 방향 추정,bio;blood;crystal
crystal_scraped_stone,결정화된 석벽 긁힘,물리 흔적,결정화된 상태의 석벽 표면을 반복적으로 긁은 흔적,등반·영역 표시 추정,physical;scratch;crystal
crystal_broken_bone,결정화된 골편,사체 흔적,결정화된 상태의 부러진 뼈 조각이 흩어진 흔적,포식 또는 언데드 추정,corpse;bone;crystal
crystal_skin_flake,결정화된 피부 조각,생체 흔적,결정화된 상태의 벗겨진 피부나 외피 조각,변이·탈피 추정,bio;skin;crystal
crystal_scale_shed,결정화된 떨어진 비늘,생체 흔적,결정화된 상태의 탈락한 비늘이나 갑각 조각,파충류·드래곤·괴수 추정,bio;scale;crystal
crystal_feather_scatter,결정화된 흩어진 깃털,생체 흔적,결정화된 상태의 날개 달린 개체가 남긴 깃털,비행 개체 추정,bio;feather;crystal
crystal_hair_clump,결정화된 털 뭉치,생체 흔적,결정화된 상태의 마찰 지점에 남은 털 뭉치,짐승형 개체 추정,bio;fur;crystal
crystal_mucus_patch,결정화된 점액 얼룩,생체 흔적,결정화된 상태의 표면에 눌어붙은 점액성 흔적,점액체·기생·양서류 추정,bio;slime;crystal
crystal_soil_discoloration,결정화된 토양 변색,환경 흔적,결정화된 상태의 토양 색이 비정상적으로 변한 흔적,독성·오염·원소 반응 추정,environment;soil;crystal
crystal_withered_plant,결정화된 말라죽은 식생,환경 흔적,결정화된 상태의 식물이 갑자기 시들거나 말라죽은 흔적,사령·독성·잔향 추정,environment;plant;crystal
crystal_glass_shard,결정화된 유리화 파편,환경 흔적,결정화된 상태의 강한 열기나 마법 반응으로 유리화된 파편,화염·역장·번개 추정,environment;magic;crystal
crystal_ash_pile,결정화된 재 더미,환경 흔적,결정화된 상태의 불타거나 정화된 뒤 남은 재,화염·광휘 추정,environment;ash;crystal
crystal_ice_crack,결정화된 얼음 균열,환경 흔적,결정화된 상태의 냉기 반응으로 갈라진 얼음 자국,냉기성 위협 추정,environment;cold;crystal
crystal_metal_bend,결정화된 휘어진 금속,물리 흔적,결정화된 상태의 강한 힘이나 열로 금속이 휘어진 흔적,거대·화염·구조체 추정,physical;metal;crystal
crystal_mind_graffiti,결정화된 반복 문구,마법·오염 흔적,결정화된 상태의 목격자가 무의식적으로 남긴 같은 문구,정신·공포 영향 추정,magic;psychic;crystal
rune_blood_spatter,룬이 남은 혈흔,생체 흔적,룬이 남은 상태의 교전이나 포식 과정에서 흩뿌려진 혈액 흔적,피해 규모와 방향 추정,bio;blood;rune
rune_scraped_stone,룬이 남은 석벽 긁힘,물리 흔적,룬이 남은 상태의 석벽 표면을 반복적으로 긁은 흔적,등반·영역 표시 추정,physical;scratch;rune
rune_broken_bone,룬이 남은 골편,사체 흔적,룬이 남은 상태의 부러진 뼈 조각이 흩어진 흔적,포식 또는 언데드 추정,corpse;bone;rune
rune_skin_flake,룬이 남은 피부 조각,생체 흔적,룬이 남은 상태의 벗겨진 피부나 외피 조각,변이·탈피 추정,bio;skin;rune
rune_scale_shed,룬이 남은 떨어진 비늘,생체 흔적,룬이 남은 상태의 탈락한 비늘이나 갑각 조각,파충류·드래곤·괴수 추정,bio;scale;rune
rune_feather_scatter,룬이 남은 흩어진 깃털,생체 흔적,룬이 남은 상태의 날개 달린 개체가 남긴 깃털,비행 개체 추정,bio;feather;rune
rune_hair_clump,룬이 남은 털 뭉치,생체 흔적,룬이 남은 상태의 마찰 지점에 남은 털 뭉치,짐승형 개체 추정,bio;fur;rune
rune_mucus_patch,룬이 남은 점액 얼룩,생체 흔적,룬이 남은 상태의 표면에 눌어붙은 점액성 흔적,점액체·기생·양서류 추정,bio;slime;rune
rune_soil_discoloration,룬이 남은 토양 변색,환경 흔적,룬이 남은 상태의 토양 색이 비정상적으로 변한 흔적,독성·오염·원소 반응 추정,environment;soil;rune
rune_withered_plant,룬이 남은 말라죽은 식생,환경 흔적,룬이 남은 상태의 식물이 갑자기 시들거나 말라죽은 흔적,사령·독성·잔향 추정,environment;plant;rune
rune_glass_shard,룬이 남은 유리화 파편,환경 흔적,룬이 남은 상태의 강한 열기나 마법 반응으로 유리화된 파편,화염·역장·번개 추정,environment;magic;rune
rune_ash_pile,룬이 남은 재 더미,환경 흔적,룬이 남은 상태의 불타거나 정화된 뒤 남은 재,화염·광휘 추정,environment;ash;rune
rune_ice_crack,룬이 남은 얼음 균열,환경 흔적,룬이 남은 상태의 냉기 반응으로 갈라진 얼음 자국,냉기성 위협 추정,environment;cold;rune
rune_metal_bend,룬이 남은 휘어진 금속,물리 흔적,룬이 남은 상태의 강한 힘이나 열로 금속이 휘어진 흔적,거대·화염·구조체 추정,physical;metal;rune
rune_mind_graffiti,룬이 남은 반복 문구,마법·오염 흔적,룬이 남은 상태의 목격자가 무의식적으로 남긴 같은 문구,정신·공포 영향 추정,magic;psychic;rune
fogged_blood_spatter,안개가 밴 혈흔,생체 흔적,안개가 밴 상태의 교전이나 포식 과정에서 흩뿌려진 혈액 흔적,피해 규모와 방향 추정,bio;blood;fogged
fogged_scraped_stone,안개가 밴 석벽 긁힘,물리 흔적,안개가 밴 상태의 석벽 표면을 반복적으로 긁은 흔적,등반·영역 표시 추정,physical;scratch;fogged
fogged_broken_bone,안개가 밴 골편,사체 흔적,안개가 밴 상태의 부러진 뼈 조각이 흩어진 흔적,포식 또는 언데드 추정,corpse;bone;fogged
fogged_skin_flake,안개가 밴 피부 조각,생체 흔적,안개가 밴 상태의 벗겨진 피부나 외피 조각,변이·탈피 추정,bio;skin;fogged
fogged_scale_shed,안개가 밴 떨어진 비늘,생체 흔적,안개가 밴 상태의 탈락한 비늘이나 갑각 조각,파충류·드래곤·괴수 추정,bio;scale;fogged
fogged_feather_scatter,안개가 밴 흩어진 깃털,생체 흔적,안개가 밴 상태의 날개 달린 개체가 남긴 깃털,비행 개체 추정,bio;feather;fogged
fogged_hair_clump,안개가 밴 털 뭉치,생체 흔적,안개가 밴 상태의 마찰 지점에 남은 털 뭉치,짐승형 개체 추정,bio;fur;fogged
fogged_mucus_patch,안개가 밴 점액 얼룩,생체 흔적,안개가 밴 상태의 표면에 눌어붙은 점액성 흔적,점액체·기생·양서류 추정,bio;slime;fogged
fogged_soil_discoloration,안개가 밴 토양 변색,환경 흔적,안개가 밴 상태의 토양 색이 비정상적으로 변한 흔적,독성·오염·원소 반응 추정,environment;soil;fogged
fogged_withered_plant,안개가 밴 말라죽은 식생,환경 흔적,안개가 밴 상태의 식물이 갑자기 시들거나 말라죽은 흔적,사령·독성·잔향 추정,environment;plant;fogged
fogged_glass_shard,안개가 밴 유리화 파편,환경 흔적,안개가 밴 상태의 강한 열기나 마법 반응으로 유리화된 파편,화염·역장·번개 추정,environment;magic;fogged
fogged_ash_pile,안개가 밴 재 더미,환경 흔적,안개가 밴 상태의 불타거나 정화된 뒤 남은 재,화염·광휘 추정,environment;ash;fogged
fogged_ice_crack,안개가 밴 얼음 균열,환경 흔적,안개가 밴 상태의 냉기 반응으로 갈라진 얼음 자국,냉기성 위협 추정,environment;cold;fogged
fogged_metal_bend,안개가 밴 휘어진 금속,물리 흔적,안개가 밴 상태의 강한 힘이나 열로 금속이 휘어진 흔적,거대·화염·구조체 추정,physical;metal;fogged
fogged_mind_graffiti,안개가 밴 반복 문구,마법·오염 흔적,안개가 밴 상태의 목격자가 무의식적으로 남긴 같은 문구,정신·공포 영향 추정,magic;psychic;fogged
necrotic_blood_spatter,사령 반응을 보이는 혈흔,생체 흔적,사령 반응을 보이는 상태의 교전이나 포식 과정에서 흩뿌려진 혈액 흔적,피해 규모와 방향 추정,bio;blood;necrotic
