subtype_id,major_type_en,major_type_ko,subtype_ko,subtype_en,classification_axis,definition,example_keywords,notes
construct_006,Construct,구조체,수호 석상형 구조체,Guardian Statue Construct,형태,석상·조각상이 경계 조건에 반응하는 구조체,Gargoyle if construct-like; Statue,실제 가고일은 유형 확인 필요
construct_007,Construct,구조체,함정 결합형 구조체,Trap-Bound Construct,기능,던전 함정과 결합되어 작동하는 구조체,Animated objects,해체 필요
construct_008,Construct,구조체,마법 회로형 구조체,Arcane Circuit Construct,동력,룬·회로·마력 흐름으로 움직이는 구조체,Modron; Shield Guardian,룬 공고와 연계
construct_009,Construct,구조체,정령 주입형 구조체,Elemental-Infused Construct,동력,원소 정령이나 원소 에너지가 주입된 구조체,Golem variants,원소 피해 동반
construct_010,Construct,구조체,언데드 모방 구조체,Undead-Mimic Construct,위장,언데드처럼 보이나 실제로는 제작물인 구조체,Bone construct motif,오분류 방지
construct_011,Construct,구조체,생체 부품 결합 구조체,Biomantic Construct,제작 방식,생체 조직과 기계·마법 부품이 결합된 구조체,Flesh Golem,잔향/정제 실패와 결합
construct_012,Construct,구조체,수정·광물형 구조체,Crystal/Mineral Construct,재료,수정·광물·흑마석 반응 재료로 구성된 구조체,Crystal statue motif,흑마석 반응
construct_013,Construct,구조체,시계장치형 구조체,Clockwork Construct,제작 방식,톱니·스프링·정밀 기계 구조로 작동하는 구조체,Clockwork creatures,정밀 해체 가능
construct_014,Construct,구조체,명령 불안정 구조체,Unstable-Command Construct,상태,명령 체계가 손상되어 예측 불가능하게 작동하는 구조체,Malfunctioning construct,비살상 정지 가능
construct_015,Construct,구조체,자율 학습형 구조체,Self-Learning Construct,지능,경험을 통해 대응 방식을 바꾸는 구조체,Advanced guardian motif,반복 교전 위험
construct_016,Construct,구조체,봉인 장치형 구조체,Sealing Device Construct,역할,봉인·구속·정화 장치와 연결된 구조체,Seal guardian,파괴 금지 가능
construct_017,Construct,구조체,운반·노동형 구조체,Labor Construct,용도,운반·채굴·건설 등 비전투 목적 구조체,Animated tools,정제 시설 사고
construct_018,Construct,구조체,의식 집행형 구조체,Ritual Construct,역할,의식 절차를 반복 집행하는 구조체,Ritual automaton,금기 정제 차단
dragon_001,Dragon,드래곤,색채룡형,Chromatic Dragon,혈통,색채와 원소성 탐욕을 지닌 드래곤 계열,Red Dragon; Blue Dragon,악성·영역성 강함
dragon_002,Dragon,드래곤,금속룡형,Metallic Dragon,혈통,금속성과 질서·고귀함의 상징을 지닌 드래곤 계열,Gold Dragon; Silver Dragon,항상 적대 아님
dragon_003,Dragon,드래곤,보석룡형,Gem Dragon,혈통,보석·정신성·특수 에너지와 결합한 드래곤 계열,Amethyst Dragon,보조 룰북 기반
dragon_004,Dragon,드래곤,원시 드래곤형,Primal Dragon,기원,고대 자연력과 직접 결합한 원초적 드래곤,Ancient dragon motif,지역 재난급
dragon_005,Dragon,드래곤,비룡형,Wyvern-like Dragon,형태,진룡보다 단순하고 야수성이 강한 비행 용종,Wyvern,독침·비행
dragon_006,Dragon,드래곤,용혈 야수형,Draconic Beast,혈통 영향,야수에 용혈·비늘·브레스 흔적이 섞인 유형,Dragon Turtle; Drake motif,Beast/Dragon 판정 필요
dragon_007,Dragon,드래곤,용혈 인간형,Draconic Humanoid,혈통 영향,인간형 종족이나 개인에게 용혈 특성이 강하게 나타난 유형,Dragonborn; Half-dragon,Humanoid와 병기
dragon_008,Dragon,드래곤,용혈 변이체형,Draconic Mutant,상태,용혈 주입·저주·오염으로 변이한 생물,Half-dragon template,현장 상태 태그와 결합
dragon_009,Dragon,드래곤,어린 용형,Young Dragon,연령,성체 이전의 성장 단계 드래곤,Young Red Dragon,위험도 상승 중
dragon_010,Dragon,드래곤,고룡형,Ancient Dragon,연령,오랜 세월과 영역 지배력을 지닌 고대 드래곤,Ancient Dragon,재난·정치급
dragon_011,Dragon,드래곤,수호룡형,Guardian Dragon,역할,성역·보물·유적·맹세를 수호하는 드래곤,Gold dragon guardian,교전 전 협상 가능
dragon_012,Dragon,드래곤,포식룡형,Predatory Dragon,생태,사냥과 포식 중심으로 움직이는 드래곤,White Dragon,생태 공고화 가능
dragon_013,Dragon,드래곤,원소 브레스형,Elemental Breath Dragon,공격 전달,화염·냉기·번개 등 원소 브레스가 핵심인 드래곤,Red; White; Blue Dragon,피해 타입과 연결
dragon_014,Dragon,드래곤,독성 브레스형,Toxic Breath Dragon,공격 전달,독·산성·부패성 분출을 주력으로 하는 드래곤,Green; Black Dragon,환경 오염 가능
dragon_015,Dragon,드래곤,공포 오라형,Frightful Aura Dragon,위협 양상,존재감과 공포 오라로 전장을 지배하는 드래곤,Adult/Ancient Dragon,공포 기록 중요
dragon_016,Dragon,드래곤,보물 집착형,Hoarding Dragon,행동,보물·지식·영역을 축적하고 지키는 드래곤,Classic dragon hoard,중립 회수와 충돌
dragon_017,Dragon,드래곤,지배자형,Dominating Dragon,사회성,지역 생태나 세력을 지배하는 드래곤,Dragon tyrant motif,정치 분쟁화 주의
dragon_018,Dragon,드래곤,타락한 용형,Corrupted Dragon,상태,잔향·악마·언데드·저주 등으로 타락한 드래곤,Dracolich; Shadow Dragon,별도 대분류와 병기 가능
dragon_019,Dragon,드래곤,언데드 용형,Undead Dragon,상태,사령성 힘으로 되살아난 용종,Dracolich; Zombie Dragon,Undead 대분류 가능
dragon_020,Dragon,드래곤,수중 용형,Aquatic Dragon,서식,해안·호수·심해와 결합한 용종,Dragon Turtle,수중 원정
elemental_001,Elemental,원소체,화염 원소체,Fire Elemental,원소,불과 열기로 구성된 원소 존재,Fire Elemental,연소 피해
elemental_002,Elemental,원소체,냉기 원소체,Cold Elemental,원소,냉기와 빙결성 힘으로 구성된 원소 존재,Ice Mephit,빙결 흔적
elemental_003,Elemental,원소체,물 원소체,Water Elemental,원소,"물과 압력, 흐름으로 구성된 원소 존재",Water Elemental,수로 위협
elemental_004,Elemental,원소체,대지 원소체,Earth Elemental,원소,"흙과 암석, 압력으로 구성된 원소 존재",Earth Elemental,굴파기 가능
elemental_005,Elemental,원소체,공기 원소체,Air Elemental,원소,"바람과 압력, 부유로 구성된 원소 존재",Air Elemental,비행/소용돌이
elemental_006,Elemental,원소체,번개 원소체,Lightning Elemental,원소,전격과 신경 교란성 힘을 지닌 원소 존재,Storm elemental motif,장비 오작동
elemental_007,Elemental,원소체,산성 원소체,Acid Elemental,원소,부식성 용해 힘으로 구성된 원소 존재,Acid weird motif,장비 손상
elemental_008,Elemental,원소체,독성 원소체,Poison Elemental,원소,독기·유독 가스·부패성 기체와 결합한 원소 존재,Poison cloud motif,호흡 위험
elemental_009,Elemental,원소체,마그마형 원소체,Magma Elemental,혼합 원소,화염과 대지가 결합한 고열 원소체,Magma mephit,화산 지형
elemental_010,Elemental,원소체,얼음 결정형 원소체,Ice Crystal Elemental,혼합 원소,냉기와 광물 결정이 결합한 원소체,Ice elemental motif,절단/냉기
elemental_011,Elemental,원소체,폭풍형 원소체,Storm Elemental,혼합 원소,바람·번개·천둥이 결합한 원소체,Storm spirit,전장 교란
elemental_012,Elemental,원소체,모래·먼지형 원소체,Sand/Dust Elemental,혼합 원소,모래·먼지·건조한 흐름으로 구성된 원소체,Dust mephit,시야 차단
elemental_013,Elemental,원소체,연기·증기형 원소체,Smoke/Steam Elemental,혼합 원소,연기와 증기로 시야와 호흡을 방해하는 원소체,Steam mephit,실내 위험
elemental_014,Elemental,원소체,광휘 원소체,Radiant Elemental,원소,빛과 정화성 에너지로 구성된 원소체,Light spirit motif,룩스테라 확장
elemental_015,Elemental,원소체,암흑 원소체,Shadow Elemental,원소,어둠과 빛 결핍을 기반으로 한 원소체,Shadow elemental motif,앙그라와 구분
elemental_016,Elemental,원소체,혼합 원소체,Composite Elemental,구성,둘 이상의 원소가 불안정하게 결합한 원소체,Hybrid elemental,피해 타입 복수
elemental_017,Elemental,원소체,원소 정령형,Elemental Spirit,역할,지역 원소와 의지를 공유하는 정령적 원소체,Elemental spirit,대화 가능성
elemental_018,Elemental,원소체,원소 재난형,Disaster Elemental,규모,지진·폭풍·화재 같은 재난이 형상화된 원소체,Elder elemental motif,재난 공고
elemental_019,Elemental,원소체,원소 기생형,Elemental Parasite,생태,다른 물체나 생물에 깃들어 원소성을 부여하는 존재,Azer-like infusion motif,정제 사고
elemental_020,Elemental,원소체,원소 수호형,Elemental Guardian,역할,성소·포탈·유적의 원소 방어자로 작동하는 존재,Elemental guardian,시설 방어
fey_001,Fey,요정,숲 요정형,Wildwood Fey,서식,숲과 야생 자연에 결속된 요정,Dryad; Pixie,자연 훼손 반응
fey_002,Fey,요정,궁정 요정형,Courtly Fey,사회성,요정 궁정·계급·예법 속에서 움직이는 요정,Archfey servant motif,계약 주의
fey_003,Fey,요정,장난꾼형 요정,Trickster Fey,행동,장난·기만·위치 교란으로 대상을 시험하는 요정,Sprite; Pixie,비살상 가능
fey_004,Fey,요정,유혹자형 요정,Beguiling Fey,위협 양상,매혹·노래·아름다움으로 유인하는 요정,Nymph-like motif,의지 판정
fey_005,Fey,요정,저주 전달자형 요정,Curse-Bearing Fey,기능,저주·불운·약속 위반의 대가를 전달하는 요정,Hag if Fey,해제 조건 중요
fey_006,Fey,요정,꿈·환상형 요정,Dream/Illusion Fey,정신 현상,꿈과 환상으로 길을 바꾸거나 기억을 흔드는 요정,Pixie; Satyr motif,괴담 검증
fey_007,Fey,요정,계절형 요정,Seasonal Fey,상징,봄·여름·가을·겨울과 결속된 요정,Eladrin motif,환경 변화
fey_008,Fey,요정,야생 사냥꾼형 요정,Wild Hunt Fey,역할,사냥 의식과 추적을 수행하는 요정,Wild Hunt motif,사냥꾼 공고와 대칭
fey_009,Fey,요정,변신형 요정,Shapeshifting Fey,능력,형태를 바꾸거나 타인의 모습을 흉내내는 요정,Doppelganger if Fey-like,침투자 식별
fey_010,Fey,요정,계약형 요정,Pact Fey,사회성,약속과 대가를 중심으로 힘을 주고 받는 요정,Hag bargain motif,계약 문구 기록
fey_011,Fey,요정,길잡이형 요정,Guide Fey,역할,길을 안내하거나 잘못된 길로 이끄는 요정,Will-o-wisp if Fey-like,안개권과 구분
fey_012,Fey,요정,미로·길잃음형 요정,Maze/Lost Fey,공간 현상,길잃음과 반복 경로를 유발하는 요정,Fey crossing motif,공간 왜곡 공고
fey_013,Fey,요정,감정 증폭형 요정,Emotion-Amplifying Fey,정신 현상,기쁨·분노·슬픔·공포를 증폭시키는 요정,Satyr; Hag motif,공포 의회와 구분
fey_014,Fey,요정,노래·춤형 요정,Song/Dance Fey,행동,노래와 춤으로 의식을 흐리거나 유인하는 요정,Satyr,청각 기록
fey_015,Fey,요정,식물 공생형 요정,Plant-Symbiotic Fey,생태,식물·나무·덩굴과 공생하는 요정,Dryad,Plant와 병기 가능
fey_016,Fey,요정,동물 군주형 요정,Beast-Lord Fey,역할,야수 무리와 교감하거나 지배하는 요정,Fey beast master motif,생태 교란
fey_017,Fey,요정,어린아이 유인형 요정,Child-Luring Fey,행동,아이·약자·호기심 많은 자를 유인하는 요정,Folkloric fey,구조 공고
fey_018,Fey,요정,시간 장난형 요정,Time-Trick Fey,공간/시간,짧은 시간 왜곡과 기억 공백을 남기는 요정,Fey time motif,보고서 재검증
fiend_001,Fiend,악마체,악마형,Demonic Fiend,혈통,혼돈과 파괴성이 강한 하위 차원 존재,Demon,폭주·파괴
fiend_002,Fiend,악마체,마귀형,Devilish Fiend,혈통,계약과 위계 질서가 강한 하위 차원 존재,Devil,계약 증거
fiend_003,Fiend,악마체,유혹자형 악마체,Tempting Fiend,위협 양상,욕망·대가·쾌락으로 대상을 유인하는 악마체,Succubus/Incubus,포섭 피해
fiend_004,Fiend,악마체,계약자형 악마체,Contract Fiend,사회성,계약 문서·맹세·빚을 통해 힘을 행사하는 악마체,Devil,법률적 단서
fiend_005,Fiend,악마체,고문자형 악마체,Tormentor Fiend,행동,고통과 공포를 생산하고 즐기는 악마체,Chain Devil,공포 기록
fiend_006,Fiend,악마체,파괴자형 악마체,Destroyer Fiend,행동,구조물·생명·질서를 직접 파괴하는 악마체,Balgura; Hezrou,전투 위협
fiend_007,Fiend,악마체,공포 유발형 악마체,Fear-Instilling Fiend,정신 현상,공포와 절망을 일으켜 무력화하는 악마체,Shadow demon motif,공포 의회와 결합 가능
fiend_008,Fiend,악마체,지배자형 악마체,Dominating Fiend,사회성,하위 악마체나 필멸자를 지휘하는 악마체,Pit Fiend; Balor,우두머리
fiend_009,Fiend,악마체,하위 졸개형 악마체,Lesser Fiend Minion,위계,소환되거나 부려지는 하위 악마체,Imp; Quasit,소환자 추적
fiend_010,Fiend,악마체,군단병형 악마체,Legion Fiend,사회성,군단·부대·전열 형태로 움직이는 악마체,Devil soldiers,전장 공고
fiend_011,Fiend,악마체,타락한 짐승형 악마체,Corrupted Beast Fiend,형태,야수 형상을 지닌 타락한 하위 차원 존재,Hell Hound,Beast와 구분
fiend_012,Fiend,악마체,타락한 인간형 악마체,Corrupted Humanoid Fiend,기원,필멸자가 악마적 힘으로 변질된 악마체,Cambion,Humanoid 출신 기록
fiend_013,Fiend,악마체,영혼 포식자형 악마체,Soul-Eating Fiend,위협 양상,영혼·생명력·기억을 먹는 악마체,Night Hag motif,사령과 구분
fiend_014,Fiend,악마체,지옥 화염형 악마체,Hellfire Fiend,피해 성질,화염과 지옥성 열기를 주력으로 쓰는 악마체,Barbed Devil; Hell Hound,화염 피해
fiend_015,Fiend,악마체,독·질병형 악마체,Toxic/Pestilent Fiend,피해 성질,독·역병·부패를 퍼뜨리는 악마체,Hezrou,정화 필요
fiend_016,Fiend,악마체,그림자 악마체,Shadow Fiend,형태,그림자·암흑·실체 없는 움직임을 보이는 악마체,Shadow Demon,Undead/Fiend 구분
fiend_017,Fiend,악마체,소환체형 악마체,Summoned Fiend,상태,의식·마법·계약으로 임시 소환된 악마체,Summoned demon/devil,소환자 조사
fiend_018,Fiend,악마체,심연 돌연변이형 악마체,Abyssal Mutant Fiend,상태,심연성 혼돈으로 형태가 뒤틀린 악마체,Demon mutant,변이체와 병기 가능
fiend_019,Fiend,악마체,유물 결속형 악마체,Relic-Bound Fiend,결속,저주받은 물건·성물·무기에 묶인 악마체,Possessing fiend,위험 운송
fiend_020,Fiend,악마체,문지기형 악마체,Gatekeeper Fiend,역할,포탈·관문·금지 구역을 지키는 악마체,Fiend guardian,공간 왜곡
giant_001,Giant,거인,원시 거인형,Primitive Giant,문화,원초적 생활과 단순 물리력 중심의 거인,Ogre if giant-like; Hill Giant,거인/괴수 구분
giant_002,Giant,거인,언덕 거인형,Hill Giant Kin,혈통,거대한 식욕과 둔중한 힘을 보이는 거인 계열,Hill Giant,생활권 파괴
giant_003,Giant,거인,서리 거인형,Frost Giant Kin,혈통,냉기와 전사 문화에 결속된 거인 계열,Frost Giant,설원 공고
giant_004,Giant,거인,화염 거인형,Fire Giant Kin,혈통,화염과 대장간·군사 문화에 결속된 거인,Fire Giant,제련지 공고
giant_005,Giant,거인,폭풍 거인형,Storm Giant Kin,혈통,폭풍·예언·고위 질서와 연결된 거인,Storm Giant,항상 적대 아님
giant_006,Giant,거인,구름 거인형,Cloud Giant Kin,혈통,구름·부유 성채·귀족적 위계와 연결된 거인,Cloud Giant,외교 가능
giant_007,Giant,거인,석재 거인형,Stone Giant Kin,혈통,바위·동굴·조각 문화와 연결된 거인,Stone Giant,지하 공고
giant_008,Giant,거인,바다 거인형,Sea Giant Kin,서식,해안·심해·섬과 연결된 거인 계열,Sea giant motif,수상 원정
giant_009,Giant,거인,룬 거인형,Rune Giant Kin,상징,"룬과 고대 명령, 거인 문자가 힘의 근원인 거인",Rune giant motif,룬 공고와 연계
giant_010,Giant,거인,거인 혼혈형,Giant-Blooded Hybrid,혈통 영향,거인 혈통이 섞인 인간형 또는 괴물,Half-ogre; Troll?,분류 주의
giant_011,Giant,거인,거인 하수인형,Giant Servitor,사회성,더 강한 거인이나 세력에 종속된 거대 개체,Ogre servant,우두머리 추적
giant_012,Giant,거인,투척 전사형 거인,Boulder-Throwing Giant,공격 전달,바위·나무·파편을 원거리 투척하는 거인,Hill Giant; Stone Giant,원거리 물리 위협
giant_013,Giant,거인,장인형 거인,Giant Artisan,역할,대장간·조각·건축·제작 기술을 지닌 거인,Fire Giant; Stone Giant,자원 공고
giant_014,Giant,거인,전쟁 우두머리형 거인,Giant Warlord,사회성,"무리나 부족, 군세를 지휘하는 거인",Giant chief,군단 위협
giant_015,Giant,거인,고대 거신형,Ancient Colossus Giant,규모,신화적 크기와 고대성으로 지형화된 거인,Titan-like motif,레이드급
giant_016,Giant,거인,타락한 거인형,Corrupted Giant,상태,잔향·악마·원소 폭주 등으로 변질된 거인,Corrupted giant,상태 태그 필요
giant_017,Giant,거인,식인 거인형,Man-Eating Giant,행동,인간형을 사냥하거나 잡아먹는 거인,Ogre; Hill Giant,민생 피해
giant_018,Giant,거인,수호 거인형,Guardian Giant,역할,관문·유적·고대 맹세를 지키는 거인,Stone giant guardian,무조건 적대 아님
humanoid_001,Humanoid,인간형,부족 전사형 인간형,Tribal Warrior Humanoid,사회성,부족·씨족 단위로 무장하고 생활하는 인간형,Orc; Lizardfolk,문화 기록 필요
