resource_id,resource_ko,resource_category,definition,use_note,hazard_level,tags
fog_tainted_blood,안개 오염 혈액,생체 시료,안개 오염 상태의 혈액 표본,오염·혈통 분석,hazard,blood;fog_tainted
fog_tainted_hide_piece,안개 오염 외피 조각,외피·무기 자원,안개 오염 상태의 외부 보호층 일부,제작·연구 표본,hazard,hide;fog_tainted
fog_tainted_bone_piece,안개 오염 골편,골격 자원,안개 오염 상태의 작은 뼈 조각,종 식별·사령 반응 분석,hazard,bone;fog_tainted
fog_tainted_tooth_piece,안개 오염 이빨 조각,외피·무기 자원,안개 오염 상태의 부러진 이빨 또는 치아 일부,식성·공격 흔적 대조,hazard,tooth;fog_tainted
fog_tainted_claw_piece,안개 오염 발톱 조각,외피·무기 자원,안개 오염 상태의 부러진 발톱 일부,공격 흔적 대조,hazard,claw;fog_tainted
fog_tainted_scale_piece,안개 오염 비늘 조각,외피·무기 자원,안개 오염 상태의 떨어진 비늘 일부,방어구·분류 표본,hazard,scale;fog_tainted
fog_tainted_chitin_piece,안개 오염 갑각 조각,외피·무기 자원,안개 오염 상태의 외골격 파편,방어구·구조 연구,hazard,chitin;fog_tainted
fog_tainted_organ_piece,안개 오염 장기 조직,장기 시료,안개 오염 상태의 내부 장기의 일부,생태·오염 분석,hazard,organ;fog_tainted
fog_tainted_nerve_tissue,안개 오염 신경 조직,장기 시료,안개 오염 상태의 감각 또는 반응 기관 조직,정신·감각 반응 분석,hazard,nerve;fog_tainted
fog_tainted_eye_lens,안개 오염 수정체,장기 시료,안개 오염 상태의 눈 내부의 투명 조직,시선·암시야 분석,hazard,eye;fog_tainted
fog_tainted_saliva,안개 오염 타액 시료,생체 시료,안개 오염 상태의 물기 공격과 함께 남은 침,독성·질병 분석,hazard,saliva;fog_tainted
fog_tainted_venom,안개 오염 독액,생체 시료,안개 오염 상태의 독성 액체 표본,해독제·독성 연구,hazard,poison;fog_tainted
fog_tainted_spore,안개 오염 포자 시료,생체 시료,안개 오염 상태의 미세 포자 표본,감염·확산 연구,hazard,spore;fog_tainted
fog_tainted_mucus,안개 오염 점액 시료,생체 시료,안개 오염 상태의 끈적한 분비물,기생·산성·오염 분석,hazard,slime;fog_tainted
fog_tainted_shell,안개 오염 껍질 조각,외피·무기 자원,안개 오염 상태의 껍질이나 껍데기 일부,방어 구조 연구,hazard,shell;fog_tainted
refined_candidate_blood,정제 후보 혈액,생체 시료,정제 후보 상태의 혈액 표본,오염·혈통 분석,caution,blood;refined_candidate
refined_candidate_hide_piece,정제 후보 외피 조각,외피·무기 자원,정제 후보 상태의 외부 보호층 일부,제작·연구 표본,normal,hide;refined_candidate
refined_candidate_bone_piece,정제 후보 골편,골격 자원,정제 후보 상태의 작은 뼈 조각,종 식별·사령 반응 분석,normal,bone;refined_candidate
refined_candidate_tooth_piece,정제 후보 이빨 조각,외피·무기 자원,정제 후보 상태의 부러진 이빨 또는 치아 일부,식성·공격 흔적 대조,normal,tooth;refined_candidate
refined_candidate_claw_piece,정제 후보 발톱 조각,외피·무기 자원,정제 후보 상태의 부러진 발톱 일부,공격 흔적 대조,normal,claw;refined_candidate
refined_candidate_scale_piece,정제 후보 비늘 조각,외피·무기 자원,정제 후보 상태의 떨어진 비늘 일부,방어구·분류 표본,normal,scale;refined_candidate
refined_candidate_chitin_piece,정제 후보 갑각 조각,외피·무기 자원,정제 후보 상태의 외골격 파편,방어구·구조 연구,normal,chitin;refined_candidate
refined_candidate_organ_piece,정제 후보 장기 조직,장기 시료,정제 후보 상태의 내부 장기의 일부,생태·오염 분석,caution,organ;refined_candidate
refined_candidate_nerve_tissue,정제 후보 신경 조직,장기 시료,정제 후보 상태의 감각 또는 반응 기관 조직,정신·감각 반응 분석,hazard,nerve;refined_candidate
refined_candidate_eye_lens,정제 후보 수정체,장기 시료,정제 후보 상태의 눈 내부의 투명 조직,시선·암시야 분석,normal,eye;refined_candidate
refined_candidate_saliva,정제 후보 타액 시료,생체 시료,정제 후보 상태의 물기 공격과 함께 남은 침,독성·질병 분석,caution,saliva;refined_candidate
refined_candidate_venom,정제 후보 독액,생체 시료,정제 후보 상태의 독성 액체 표본,해독제·독성 연구,hazard,poison;refined_candidate
refined_candidate_spore,정제 후보 포자 시료,생체 시료,정제 후보 상태의 미세 포자 표본,감염·확산 연구,hazard,spore;refined_candidate
refined_candidate_mucus,정제 후보 점액 시료,생체 시료,정제 후보 상태의 끈적한 분비물,기생·산성·오염 분석,caution,slime;refined_candidate
refined_candidate_shell,정제 후보 껍질 조각,외피·무기 자원,정제 후보 상태의 껍질이나 껍데기 일부,방어 구조 연구,normal,shell;refined_candidate
mutated_blood,변이된 혈액,생체 시료,변이된 상태의 혈액 표본,오염·혈통 분석,hazard,blood;mutated
mutated_hide_piece,변이된 외피 조각,외피·무기 자원,변이된 상태의 외부 보호층 일부,제작·연구 표본,hazard,hide;mutated
mutated_bone_piece,변이된 골편,골격 자원,변이된 상태의 작은 뼈 조각,종 식별·사령 반응 분석,hazard,bone;mutated
mutated_tooth_piece,변이된 이빨 조각,외피·무기 자원,변이된 상태의 부러진 이빨 또는 치아 일부,식성·공격 흔적 대조,hazard,tooth;mutated
mutated_claw_piece,변이된 발톱 조각,외피·무기 자원,변이된 상태의 부러진 발톱 일부,공격 흔적 대조,hazard,claw;mutated
mutated_scale_piece,변이된 비늘 조각,외피·무기 자원,변이된 상태의 떨어진 비늘 일부,방어구·분류 표본,hazard,scale;mutated
mutated_chitin_piece,변이된 갑각 조각,외피·무기 자원,변이된 상태의 외골격 파편,방어구·구조 연구,hazard,chitin;mutated
mutated_organ_piece,변이된 장기 조직,장기 시료,변이된 상태의 내부 장기의 일부,생태·오염 분석,hazard,organ;mutated
mutated_nerve_tissue,변이된 신경 조직,장기 시료,변이된 상태의 감각 또는 반응 기관 조직,정신·감각 반응 분석,hazard,nerve;mutated
mutated_eye_lens,변이된 수정체,장기 시료,변이된 상태의 눈 내부의 투명 조직,시선·암시야 분석,hazard,eye;mutated
mutated_saliva,변이된 타액 시료,생체 시료,변이된 상태의 물기 공격과 함께 남은 침,독성·질병 분석,hazard,saliva;mutated
mutated_venom,변이된 독액,생체 시료,변이된 상태의 독성 액체 표본,해독제·독성 연구,hazard,poison;mutated
mutated_spore,변이된 포자 시료,생체 시료,변이된 상태의 미세 포자 표본,감염·확산 연구,hazard,spore;mutated
mutated_mucus,변이된 점액 시료,생체 시료,변이된 상태의 끈적한 분비물,기생·산성·오염 분석,hazard,slime;mutated
mutated_shell,변이된 껍질 조각,외피·무기 자원,변이된 상태의 껍질이나 껍데기 일부,방어 구조 연구,hazard,shell;mutated
psychic_tissue,정신 공명 조직,마법성 시료,정신 반응이 남은 조직,정신 영향 분석,hazard,aberration;psychic
aberrant_tentacle,변이 촉수,생체 시료,비정상 촉수 조직,변이 구조 분석,hazard,aberration;tentacle
quality_pelt,양질의 모피,외피·무기 자원,야수의 온전한 모피,제작 재료,normal,beast;fur
predator_fang,포식수 송곳니,외피·무기 자원,포식 야수의 큰 송곳니,무기 재료,normal,beast;fang
radiant_essence,광휘 정수,마법성 시료,정화성 빛이 응축된 정수,정화 연구,caution,celestial;radiant
sanctified_bone,성화된 골편,마법성 시료,신성 반응을 지닌 뼈 조각,천상체 분석,caution,celestial;bone
arcane_circuit,마법 회로편,마법성 시료,구조체 내부 회로 조각,명령 구조 분석,normal,construct;circuit
animated_armor_plate,활성 갑주판,장비·부산물,움직임 반응이 남은 갑주판,구조체 연구,caution,construct;armor
dragon_blood,용혈,생체 시료,드래곤 혈액,혈통·브레스 연구,hazard,dragon;blood
dragon_horn,용뿔,외피·무기 자원,드래곤의 뿔,고급 제작 재료,normal,dragon;horn
elemental_core,원소 핵,마법성 시료,원소력이 응축된 중심 물질,원소 연구·봉인 필요,hazard,elemental;core
elemental_residue,원소 잔재,마법성 시료,소멸 뒤 남은 원소성 물질,원소 반응 분석,caution,elemental
fey_charm_fragment,요정 매듭 조각,마법성 시료,요정계 마법이 남은 장식 조각,환상·계약 연구,caution,fey;charm
dream_pollen,꿈가루,마법성 시료,꿈과 환상 반응이 있는 분말,환상 연구,hazard,fey;dream
soul_ash,영혼재,마법성 시료,영혼 소모 반응 뒤 남은 재,악마체 연구,hazard,fiend;soul
infernal_chain_link,지옥 사슬고리,장비·부산물,하위 차원 반응이 남은 사슬 조각,계약·속박 분석,hazard,fiend;chain
giant_bone,거인 뼈,골격 자원,거대 인간형의 뼈,제작·해부 자료,normal,giant;bone
giant_tooth,거인 이빨,골격 자원,거인의 큰 이빨,종 식별,normal,giant;tooth
tribal_token,부족 표식물,장비·부산물,인간형 집단의 표식물,소속 판정,normal,humanoid;token
ritual_tool,의식 도구,장비·부산물,주술·신앙 행위에 쓰인 도구,의식 분석,caution,humanoid;ritual
chimeric_organ,키메라 장기,장기 시료,서로 다른 생물 특징이 섞인 장기,괴수 기원 분석,hazard,monstrosity;hybrid
monster_plate,괴수 장갑판,외피·무기 자원,두꺼운 외피 장갑판,방어구 재료,normal,monstrosity;plate
ooze_core_sample,점액 핵 시료,생체 시료,점액체 중심부로 추정되는 고농도 시료,점액체 분석,hazard,ooze;core
acidic_slime,산성 점액,생체 시료,부식성이 강한 점액,봉인 용기 필요,hazard,ooze;acid
living_seed,살아있는 씨앗,생체 시료,오염 또는 마법 반응이 남은 씨앗,번식 연구,hazard,plant;seed
animated_root,움직이는 뿌리,생체 시료,사후에도 반응하는 뿌리 조직,식물체 연구,hazard,plant;root
grave_dust,무덤 먼지,오염성 시료,사령 반응이 있는 먼지,사령술·침식 분석,hazard,undead;dust
wraith_ectoplasm,영체 잔여물,마법성 시료,영체가 사라진 뒤 남은 희박한 물질,영체 연구,hazard,undead;spectral
