link_id,major_type_en,subtype_id,resource_id,weight,required,notes
srl_aberration_020_aberrant_tentacle,Aberration,aberration_020,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_020_ichor_sample,Aberration,aberration_020,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_020_brain,Aberration,aberration_020,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_020_blood_sample,Aberration,aberration_020,blood_sample,20,false,범용 보정 후보
srl_aberration_020_hide,Aberration,aberration_020,hide,20,false,범용 보정 후보
srl_aberration_020_claw,Aberration,aberration_020,claw,20,false,범용 보정 후보
srl_beast_001_quality_pelt,Beast,beast_001,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_001_predator_fang,Beast,beast_001,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_001_claw,Beast,beast_001,claw,55,false,Beast 대분류 기본 자원
srl_beast_001_blood_sample,Beast,beast_001,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_001_venom_sac,Beast,beast_001,venom_sac,90,true,독성/질병 분류
srl_beast_001_liver,Beast,beast_001,liver,76,false,독성/질병 분류
srl_beast_001_hide,Beast,beast_001,hide,20,false,범용 보정 후보
srl_beast_002_quality_pelt,Beast,beast_002,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_002_predator_fang,Beast,beast_002,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_002_claw,Beast,beast_002,claw,55,false,Beast 대분류 기본 자원
srl_beast_002_blood_sample,Beast,beast_002,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_002_hide,Beast,beast_002,hide,20,false,범용 보정 후보
srl_beast_003_quality_pelt,Beast,beast_003,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_003_predator_fang,Beast,beast_003,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_003_claw,Beast,beast_003,claw,55,false,Beast 대분류 기본 자원
srl_beast_003_blood_sample,Beast,beast_003,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_003_hide,Beast,beast_003,hide,20,false,범용 보정 후보
srl_beast_004_quality_pelt,Beast,beast_004,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_004_predator_fang,Beast,beast_004,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_004_claw,Beast,beast_004,claw,55,false,Beast 대분류 기본 자원
srl_beast_004_blood_sample,Beast,beast_004,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_004_hide,Beast,beast_004,hide,20,false,범용 보정 후보
srl_beast_005_quality_pelt,Beast,beast_005,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_005_predator_fang,Beast,beast_005,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_005_claw,Beast,beast_005,claw,55,false,Beast 대분류 기본 자원
srl_beast_005_blood_sample,Beast,beast_005,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_005_feather,Beast,beast_005,feather,90,true,비행 분류
srl_beast_005_wing_membrane,Beast,beast_005,wing_membrane,83,false,비행 분류
srl_beast_005_hide,Beast,beast_005,hide,20,false,범용 보정 후보
srl_beast_006_quality_pelt,Beast,beast_006,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_006_predator_fang,Beast,beast_006,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_006_claw,Beast,beast_006,claw,55,false,Beast 대분류 기본 자원
srl_beast_006_blood_sample,Beast,beast_006,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_006_slime_sample,Beast,beast_006,slime_sample,90,true,수중 분류
srl_beast_006_scale,Beast,beast_006,scale,83,false,수중 분류
srl_beast_006_hide,Beast,beast_006,hide,20,false,범용 보정 후보
srl_beast_007_quality_pelt,Beast,beast_007,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_007_predator_fang,Beast,beast_007,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_007_claw,Beast,beast_007,claw,55,false,Beast 대분류 기본 자원
srl_beast_007_blood_sample,Beast,beast_007,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_007_venom_sac,Beast,beast_007,venom_sac,90,true,독성/질병 분류
srl_beast_007_liver,Beast,beast_007,liver,76,false,독성/질병 분류
srl_beast_007_slime_sample,Beast,beast_007,slime_sample,90,true,수중 분류
srl_beast_007_scale,Beast,beast_007,scale,83,false,수중 분류
srl_beast_007_hide,Beast,beast_007,hide,20,false,범용 보정 후보
srl_beast_008_quality_pelt,Beast,beast_008,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_008_predator_fang,Beast,beast_008,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_008_claw,Beast,beast_008,claw,55,false,Beast 대분류 기본 자원
srl_beast_008_blood_sample,Beast,beast_008,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_008_slime_sample,Beast,beast_008,slime_sample,90,true,수중 분류
srl_beast_008_scale,Beast,beast_008,scale,83,false,수중 분류
srl_beast_008_hide,Beast,beast_008,hide,20,false,범용 보정 후보
srl_beast_009_quality_pelt,Beast,beast_009,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_009_predator_fang,Beast,beast_009,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_009_claw,Beast,beast_009,claw,55,false,Beast 대분류 기본 자원
srl_beast_009_blood_sample,Beast,beast_009,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_009_chitin,Beast,beast_009,chitin,90,true,절지/곤충 분류
srl_beast_009_venom_sac,Beast,beast_009,venom_sac,83,false,절지/곤충 분류
srl_beast_009_spore_sac,Beast,beast_009,spore_sac,69,false,절지/곤충 분류
srl_beast_009_liver,Beast,beast_009,liver,76,false,독성/질병 분류
srl_beast_009_hide,Beast,beast_009,hide,20,false,범용 보정 후보
srl_beast_010_quality_pelt,Beast,beast_010,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_010_predator_fang,Beast,beast_010,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_010_claw,Beast,beast_010,claw,55,false,Beast 대분류 기본 자원
srl_beast_010_blood_sample,Beast,beast_010,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_010_chitin,Beast,beast_010,chitin,90,true,절지/곤충 분류
srl_beast_010_venom_sac,Beast,beast_010,venom_sac,83,false,절지/곤충 분류
srl_beast_010_spore_sac,Beast,beast_010,spore_sac,69,false,절지/곤충 분류
srl_beast_010_liver,Beast,beast_010,liver,76,false,독성/질병 분류
srl_beast_010_hide,Beast,beast_010,hide,20,false,범용 보정 후보
srl_beast_011_quality_pelt,Beast,beast_011,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_011_predator_fang,Beast,beast_011,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_011_claw,Beast,beast_011,claw,55,false,Beast 대분류 기본 자원
srl_beast_011_blood_sample,Beast,beast_011,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_011_hide,Beast,beast_011,hide,20,false,범용 보정 후보
srl_beast_012_quality_pelt,Beast,beast_012,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_012_predator_fang,Beast,beast_012,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_012_claw,Beast,beast_012,claw,55,false,Beast 대분류 기본 자원
srl_beast_012_blood_sample,Beast,beast_012,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_012_venom_sac,Beast,beast_012,venom_sac,90,true,독성/질병 분류
srl_beast_012_liver,Beast,beast_012,liver,76,false,독성/질병 분류
srl_beast_012_slime_sample,Beast,beast_012,slime_sample,90,true,수중 분류
srl_beast_012_scale,Beast,beast_012,scale,83,false,수중 분류
srl_beast_012_hide,Beast,beast_012,hide,20,false,범용 보정 후보
srl_beast_013_quality_pelt,Beast,beast_013,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_013_predator_fang,Beast,beast_013,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_013_claw,Beast,beast_013,claw,55,false,Beast 대분류 기본 자원
srl_beast_013_blood_sample,Beast,beast_013,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_013_venom_sac,Beast,beast_013,venom_sac,90,true,독성/질병 분류
srl_beast_013_liver,Beast,beast_013,liver,76,false,독성/질병 분류
srl_beast_013_slime_sample,Beast,beast_013,slime_sample,90,true,기생/공생 분류
srl_beast_013_brain,Beast,beast_013,brain,76,false,기생/공생 분류
srl_beast_013_ichor_sample,Beast,beast_013,ichor_sample,69,false,기생/공생 분류
srl_beast_013_scale,Beast,beast_013,scale,83,false,수중 분류
srl_beast_013_hide,Beast,beast_013,hide,20,false,범용 보정 후보
srl_beast_014_quality_pelt,Beast,beast_014,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_014_predator_fang,Beast,beast_014,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_014_claw,Beast,beast_014,claw,55,false,Beast 대분류 기본 자원
srl_beast_014_blood_sample,Beast,beast_014,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_014_dragon_scale,Beast,beast_014,dragon_scale,90,true,용종 분류
srl_beast_014_dragon_blood,Beast,beast_014,dragon_blood,83,false,용종 분류
srl_beast_014_dragon_breath_sac,Beast,beast_014,dragon_breath_sac,76,false,용종 분류
srl_beast_014_dragon_horn,Beast,beast_014,dragon_horn,69,false,용종 분류
srl_beast_014_hide,Beast,beast_014,hide,20,false,범용 보정 후보
srl_beast_015_quality_pelt,Beast,beast_015,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_015_predator_fang,Beast,beast_015,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_015_claw,Beast,beast_015,claw,55,false,Beast 대분류 기본 자원
srl_beast_015_blood_sample,Beast,beast_015,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_015_hide,Beast,beast_015,hide,83,false,굴파기/지하 분류
srl_beast_016_quality_pelt,Beast,beast_016,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_016_predator_fang,Beast,beast_016,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_016_claw,Beast,beast_016,claw,55,false,Beast 대분류 기본 자원
srl_beast_016_blood_sample,Beast,beast_016,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_016_living_seed,Beast,beast_016,living_seed,90,true,식물/균류 분류
srl_beast_016_animated_root,Beast,beast_016,animated_root,83,false,식물/균류 분류
srl_beast_016_spore_sac,Beast,beast_016,spore_sac,76,false,식물/균류 분류
srl_beast_016_fungal_mycelium,Beast,beast_016,fungal_mycelium,69,false,식물/균류 분류
srl_beast_016_hide,Beast,beast_016,hide,20,false,범용 보정 후보
srl_beast_017_quality_pelt,Beast,beast_017,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_017_predator_fang,Beast,beast_017,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_017_claw,Beast,beast_017,claw,55,false,Beast 대분류 기본 자원
srl_beast_017_blood_sample,Beast,beast_017,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_017_hide,Beast,beast_017,hide,20,false,범용 보정 후보
srl_beast_018_quality_pelt,Beast,beast_018,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_018_predator_fang,Beast,beast_018,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_018_claw,Beast,beast_018,claw,55,false,Beast 대분류 기본 자원
srl_beast_018_blood_sample,Beast,beast_018,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_018_hide,Beast,beast_018,hide,20,false,범용 보정 후보
srl_beast_019_quality_pelt,Beast,beast_019,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_019_predator_fang,Beast,beast_019,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_019_claw,Beast,beast_019,claw,55,false,Beast 대분류 기본 자원
srl_beast_019_blood_sample,Beast,beast_019,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_019_hide,Beast,beast_019,hide,20,false,범용 보정 후보
srl_beast_020_quality_pelt,Beast,beast_020,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_020_predator_fang,Beast,beast_020,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_020_claw,Beast,beast_020,claw,55,false,Beast 대분류 기본 자원
srl_beast_020_blood_sample,Beast,beast_020,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_020_slime_sample,Beast,beast_020,slime_sample,90,true,수중 분류
srl_beast_020_scale,Beast,beast_020,scale,83,false,수중 분류
srl_beast_020_hide,Beast,beast_020,hide,20,false,범용 보정 후보
srl_beast_021_quality_pelt,Beast,beast_021,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_021_predator_fang,Beast,beast_021,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_021_claw,Beast,beast_021,claw,55,false,Beast 대분류 기본 자원
srl_beast_021_blood_sample,Beast,beast_021,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_021_hide,Beast,beast_021,hide,20,false,범용 보정 후보
srl_beast_022_quality_pelt,Beast,beast_022,quality_pelt,65,true,Beast 대분류 기본 자원
srl_beast_022_predator_fang,Beast,beast_022,predator_fang,60,false,Beast 대분류 기본 자원
srl_beast_022_claw,Beast,beast_022,claw,55,false,Beast 대분류 기본 자원
srl_beast_022_blood_sample,Beast,beast_022,blood_sample,50,false,Beast 대분류 기본 자원
srl_beast_022_hide,Beast,beast_022,hide,20,false,범용 보정 후보
srl_beast_023_quality_pelt,Beast,beast_023,quality_pelt,65,true,Beast 대분류 기본 자원
