주사위,지형명,지형 설명,isAngra
29,바위 사막,"모래보다 바위와 건조한 협곡이 많은 지형이다. 거친 암석이 엄폐물이 되지만, 낙석과 고온이 위협이 된다.",
30,오아시스,"사막 한가운데 물과 식물이 모인 지형이다. 휴식처처럼 보이지만, 물을 노리는 생물과 매복자들이 모이기 쉽다.",
31,설원,"눈이 넓게 쌓인 평지형 지형이다. 발자국이 남고, 추위와 시야 반사가 전투를 어렵게 만든다.",
32,눈보라 벌판,"눈보라가 강하게 몰아치는 지형이다. 시야와 소리가 모두 차단되고, 가까운 적도 놓치기 쉽다.",
33,빙하 지대,"두꺼운 얼음과 갈라진 틈이 이어지는 지형이다. 균열과 미끄러짐, 얼음 아래의 물이 주요 위험이다.",
34,얼음호수,"얼음으로 덮인 수면 위에서 싸우는 지형이다. 충격이 누적되면 얼음이 깨질 수 있고, 위치 선정이 중요하다.",
35,툰드라,"낮은 풀과 얼어붙은 땅이 이어지는 추운 황야다. 엄폐물은 적지만, 작은 굴과 얼음 틈에 적이 숨을 수 있다.",
36,고원,"높은 지대에 펼쳐진 탁 트인 평지다. 바람이 강하고 산소가 희박하며, 멀리서 접근하는 적을 먼저 볼 수 있다.",
37,바람고원,"강풍이 지속적으로 부는 고원 지형이다. 투사체와 비행, 균형 유지가 어려워진다.",
38,초승달절벽,여러 절벽과 좁은 능선이 이어지는 고지 지형이다. 전투는 추락과 우회로 장악이 중심이 된다.,
39,산길,"산허리를 따라 난 좁은 길이다. 한쪽은 절벽, 한쪽은 암벽인 경우가 많아 포위와 낙석이 위협적이다.",
40,산정상,"트인 시야와 강한 바람이 있는 지형이다. 공간은 넓어 보이지만 피할 곳이 적고, 날씨 변화가 전투에 큰 영향을 준다.",
41,협곡,"높은 암벽 사이로 좁은 길이 이어지는 지형이다. 매복과 포위, 낙석 공격에 적합하다.",
42,암석지대,"크고 작은 바위들이 널린 지형이다. 엄폐물과 장애물이 많아 전투가 분절되고, 기습이 쉬워진다.",
43,균열지대,"땅이 갈라지고 틈이 많은 지형이다. 발판이 불안정하며, 강한 충격으로 새로운 균열이 생길 수 있다.",
44,분화구,둥글게 패인 거대한 구덩이형 지형이다. 중심부와 가장자리의 높낮이가 분명해 전투 위치가 중요하다.,
45,화산재평원,"재가 두껍게 깔린 어두운 평원이다. 발자국과 흔적은 남지만, 재바람이 시야와 호흡을 방해한다.",
46,마을,"민가와 창고, 울타리, 우물이 있는 소규모 거주지다. 민간인 보호와 건물 피해를 고려해야 하며, 골목과 마당이 전장을 나눈다.",
47,폐마을,"사람이 떠난 뒤 방치된 마을이다. 생활 흔적은 남았지만 비어 있어, 매복과 괴담성 조우에 적합하다.",
48,불탄마을,"화재와 습격으로 폐허가 된 마을이다. 무너진 지붕과 그을린 집, 남은 잔열이 전장 분위기를 무겁게 만든다.",
49,요새마을,"목책이나 낮은 성벽을 갖춘 방어형 마을이다. 방어전, 문 돌파, 피난민 보호 같은 전투에 적합하다.",
50,농장,"밭과 헛간, 낮은 울타리, 가축 우리가 있는 지형이다. 시야는 트여 있지만 구조물이 흩어져 있어 은폐와 추격이 가능하다.",
51,목장,"넓은 풀밭과 울타리, 축사가 있는 지형이다. 이동은 쉽지만 엄폐물이 적고, 가축이나 탈것이 변수로 작용할 수 있다.",
52,광산촌,"광산 입구와 노동자 숙소, 임시 창고가 모인 지형이다. 문명권과 지하 지형이 연결되는 장소로 쓰기 좋다.",
53,항구마을,"부두와 창고, 작은 선박이 있는 지형이다. 물가와 좁은 선착장이 전투를 나누고, 탈출로가 많다.",
54,도시거리,"넓은 도로와 상점, 주거 건물이 이어진 지형이다. 민간인, 은폐물, 측면 골목이 많아 전투가 복잡해진다.",
55,골목,"건물 사이의 좁은 길이 이어지는 지형이다. 시야가 제한되고, 기습과 추격, 포위가 쉽게 발생한다.",
56,시장거리,"가판대와 천막, 사람들의 흔적이 많은 지형이다. 장애물이 많고, 전투 중 물건이 무너지며 길을 막을 수 있다.",
57,귀족저택,"넓은 홀과 정원, 복도, 방이 있는 실내형 지형이다. 장식물과 가구가 엄폐물이 되며, 침투전과 추격전에 적합하다.",
58,성벽,"좁고 긴 방어 구조물 위에서 싸우는 지형이다. 추락 위험과 사다리, 투사체, 문 방어가 중요하다.",
59,성문,"관문과 넓은 진입로가 중심인 지형이다. 돌파와 방어, 피난민 이동, 적의 진입 저지가 핵심이다.",
60,성채,"복도와 계단, 병영, 창고가 섞인 지형이다. 방마다 전장 조건이 달라지며, 수비자가 지형을 잘 이용한다.",
61,광장,넓게 열린 도시 중심부 지형이다. 엄폐물은 적지만 여러 방향에서 접근이 가능해 포위와 군중 통제가 중요하다.,
62,사원,"제단과 기둥, 예배 공간이 있는 지형이다. 신성한 상징과 의식 구조가 전투 목적과 연결되기 쉽다.",
63,타락성소,원래는 신성했지만 오염된 흔적이 남은 지형이다. 빛과 오염이 동시에 존재해 불길한 대비를 만든다.,
64,묘지,"무덤과 비석, 낮은 담장이 이어지는 지형이다. 엄폐물이 많고, 죽은 자와 관련된 조우에 적합하다.",
65,납골당,지하 또는 석조 건물 내부에 뼈와 유해가 보관된 지형이다. 좁은 통로와 방이 많아 폐쇄감이 강하다.,
66,도서관,"책장과 열람실, 기록 보관실이 있는 지형이다. 불과 습기에 취약하며, 전투 중 지식을 보존할지 파괴할지가 문제가 된다.",
67,기록보관소,"문서와 봉인함, 표본이 정리된 지형이다. 전투 목표가 적 처치보다 자료 보호나 회수로 바뀌기 쉽다.",
68,연구실,"실험대와 시료, 유리 용기, 장치가 있는 지형이다. 파손되면 독, 누출, 정제 실패 반응이 발생할 수 있다.",
69,정제소,"부정한 핵과 흑마석을 다루는 시설 지형이다. 봉인 장치와 빛 정화 설비가 있으며, 위험물 폭주 가능성이 있다.",
70,대장간,"화로와 모루, 금속 재료가 있는 지형이다. 불과 금속, 고열, 무거운 장비가 전투 변수로 작용한다.",
71,창고,"상자와 선반, 포대가 쌓인 지형이다. 엄폐물은 많지만 시야가 좁고, 화물 붕괴나 위험물 보관이 문제가 될 수 있다.",
72,여관,"객실과 식당, 계단이 있는 지형이다. 좁은 실내와 민간인, 가구가 뒤섞여 난전이 되기 쉽다.",
73,극장,"무대와 객석, 커튼, 장치가 있는 지형이다. 위아래 공간이 나뉘고, 조명과 은폐가 전투 분위기를 만든다.",
74,투기장,"중앙 전장과 관중석, 출입문이 있는 지형이다. 도주로가 제한되고, 정면전과 난입 전개에 적합하다.",
75,다리,"강이나 협곡 위를 가로지르는 좁은 연결 지형이다. 추락과 돌파, 길목 장악이 전투의 핵심이 된다.",
76,부서진 다리,"중간이 끊기거나 일부가 무너진 다리 지형이다. 이동 경로가 제한되고, 도약이나 우회가 필요할 수 있다.",
77,관문,"두 지역을 잇는 문과 감시 구조물이 있는 지형이다. 검문, 돌파, 방어, 침투 상황에 적합하다.",
78,포탈,"공간 이동 장치나 고대 포탈이 있는 지형이다. 전이 불안정, 공명, 예기치 않은 증원이나 탈출이 발생할 수 있다.",
79,고대유적,"무너진 기둥과 석판, 낡은 벽화가 남은 지형이다. 고대 장치와 함정, 봉인 구조가 전투에 개입할 수 있다.",
80,폐허도시,"무너진 건물과 넓은 도로, 지하 공간이 함께 남은 대형 지형이다. 탐사와 전투가 동시에 진행되기 좋다.",
81,무너진 탑,"수직 구조가 강한 폐허 지형이다. 계단과 붕괴된 층, 높은 위치가 전투의 핵심이 된다.",
82,미궁회랑,"비슷한 복도와 방이 반복되는 지형이다. 길을 잃기 쉽고, 추적자와 도망자가 서로 위치를 착각하기 좋다.",
83,봉인실,"봉인석이나 제단, 잠금 장치가 있는 폐쇄형 지형이다. 전투 목표가 봉인을 지키거나 해제하는 데 집중된다.",
84,의식장,"문양과 제물대, 원형 배치가 있는 지형이다. 특정 구조물이 전투 중 기능하며, 의식 진행도가 시간 제한처럼 작용할 수 있다.",
85,룬 각인지,바닥과 벽에 알 수 없는 룬이 새겨진 지형이다. 특정 조건에서 룬이 발현해 전장 효과를 바꿀 수 있다.,
86,준던전화 구역,"아직 완전한 던전은 아니지만 공간이 굳어가는 지형이다. 방의 순서와 크기, 출입구가 정상적인 규칙을 따르지 않는다.",
87,흑마석 광맥,"검은 결정과 광맥이 지형을 장악한 장소다. 결정은 마나와 충격에 반응하며, 채굴 흔적이나 수호 개체가 있을 수 있다.",
88,부정한 핵,"던전 핵 또는 그 파편이 영향을 미치는 지형이다. 불안정한 에너지가 높고, 전투 중 핵 반응이 환경을 바꿀 수 있다.",
89,잔향오염지,"잔향이 남아 감각과 심리를 흔드는 지형이다. 눈에 보이는 위험보다 환청, 피로, 충동, 불안이 더 큰 압박이 된다.",
90,폭주오염지,"잔향 농도가 비정상적으로 치솟은 지형이다. 색과 소리, 냄새가 과잉되고, 생물과 물건이 불안정하게 반응한다.",
91,안개길,"낮은 안개가 길을 덮은 지형이다. 거리감이 흐려지고, 앞서가는 사람과 뒤따르는 사람의 위치가 어긋날 수 있다.",
92,앙그라 경계,"문명권의 빛과 앙그라의 안개가 맞닿는 지형이다. 한쪽은 비교적 안정되어 있지만, 다른 한쪽은 짙은 안개와 공간 왜곡이 밀려온다.",true
93,앙그라 외곽,"문명권 바깥 안개가 얕게 스며든 지형이다. 완전한 안개권은 아니지만, 잔향과 방향감각 상실이 나타난다.",true
94,앙그라 심부,"짙은 안개가 모든 것을 삼키는 위험 지형이다. 대규모 원정이 아니면 접근 자체가 어렵고, 장기 노출은 치명적이다.",true
95,앙그라의 못,"안개를 대지에 고정하는 토템이 박힌 지형이다. 앙그라의 영향이 짙고, 수호자 또는 공간 왜곡이 나타나기 쉽다.",true
96,관측탑,"안개나 던전을 감시하기 위해 세운 높은 시설 지형이다. 방어전과 장기 관측, 장비 보호 상황에 적합하다.",
97,전진야영지,"탐사대가 임시로 세운 천막과 보급품, 방책이 있는 지형이다. 방어는 가능하지만 장기전에는 취약하다.",
98,보급로,"수레길과 표식, 중간 거점이 이어지는 이동 지형이다. 호위, 매복, 추격, 물자 방어 상황에 잘 맞는다.",
99,난민행렬,이동 중인 민간인과 짐수레가 뒤섞인 지형이다. 전투의 목표가 적 처치보다 보호와 질서 유지로 바뀐다.,
100,빛바랜 경계지,"위그드라실의 빛이 약해진 문명권 끝자락이다. 안전지대와 위험지대가 한 공간에 공존하며, 불안정한 전조가 곳곳에 남아 있다.",
101,암초지대,수면 아래 날카로운 암초가 숨어 있는 해상 지형이다. 선박 이동과 수중 접근이 모두 위험해진다.,
102,난파 해역,부서진 배와 잔해가 떠다니는 해상 지형이다. 은폐물과 위험물이 동시에 존재한다.,
103,침몰선,"물에 잠긴 선실과 기울어진 복도가 이어지는 지형이다. 호흡, 시야, 방향 감각이 문제된다.",
104,해저동굴,수중 통로와 공기 주머니가 섞인 동굴 지형이다. 수중 전투와 탐색 장면에 적합하다.,
105,산호초,산호벽과 좁은 수로가 복잡하게 얽힌 수중 지형이다. 길찾기와 매복에 유리하다.,
106,검은 해변,어두운 파도와 떠밀려온 잔해가 가득한 해변 지형이다. 불길한 징조와 추적 장면에 어울린다.,
107,폭풍해안,거센 비바람과 높은 파도가 몰아치는 해안 지형이다. 이동과 원거리 시야가 제한된다.,
108,안개만,"짙은 물안개가 수면 위를 덮은 만 지형이다. 선박, 괴물, 신비한 섬을 숨기기 좋다.",
109,조수동굴,밀물과 썰물에 따라 통로가 열리고 닫히는 동굴 지형이다. 시간 제한형 탐험에 적합하다.,
110,소금평원,말라붙은 바다나 호수 바닥에 소금 결정이 펼쳐진 지형이다. 눈부심과 건조함이 특징이다.,
111,염수늪,소금기 있는 물과 진흙이 뒤섞인 습지 지형이다. 발이 빠지고 식수가 부족해진다.,
112,부유잔교,물 위에 임시로 묶어 둔 나무 발판 지형이다. 흔들림과 추락 위험이 계속 발생한다.,
113,뼈해안,"거대한 해양 생물의 뼈가 해변에 드러난 지형이다. 의식, 괴수 흔적, 은신처로 쓰기 좋다.",
114,해식동굴,파도에 깎인 절벽 아래 열린 동굴 지형이다. 육상과 수중 접근이 모두 가능하다.,
115,등대섬,"작은 섬과 낡은 등대가 있는 고립 지형이다. 조난, 신호, 봉화 장면에 적합하다.",
116,부유암반,하늘에 떠 있는 바위와 섬 조각이 이어진 지형이다. 추락 위험과 입체 이동이 중요하다.,
117,구름다리,"공중의 두 지점을 잇는 좁고 높은 다리 지형이다. 균형, 바람, 추격 장면에 적합하다.",
118,공중정원,허공에 떠 있거나 높은 탑 위에 조성된 정원 지형이다. 아름답지만 추락과 은폐 요소가 있다.,
119,비행선,"하늘을 나는 선박의 갑판과 선실로 이루어진 지형이다. 강풍, 흔들림, 난간 너머의 추락이 핵심이다.",
120,풍차언덕,거대한 풍차와 바람길이 있는 언덕 지형이다. 회전 구조물과 소음이 전투에 영향을 준다.,
121,천공폐허,하늘에 남은 고대 구조물의 잔해 지형이다. 끊어진 길과 떠다니는 석재가 특징이다.,
122,낙뢰능선,번개가 자주 떨어지는 높은 산등성이 지형이다. 금속 장비와 노출된 위치가 위험해진다.,
123,독수리절벽,"거대 조류가 둥지를 튼 높은 절벽 지형이다. 등반, 둥지 방어, 낙하 위험이 중심이다.",
124,하늘균열,공간이 갈라져 하늘빛 틈이 열린 지형이다. 차원 이상과 공중 몬스터 등장에 적합하다.,
125,관측소,산 정상이나 고공에 세워진 관측 시설 지형이다. 시야는 넓지만 고립감이 크다.,
126,빈민가,"낡은 집과 좁은 통로가 밀집한 도시 지형이다. 추격, 은신, 소문 수집에 적합하다.",
127,귀족가,"대저택과 정원, 경비 초소가 모인 도시 지형이다. 사회적 긴장과 잠입 장면에 어울린다.",
128,장인거리,"공방과 작업장이 이어진 도시 지형이다. 도구, 화로, 소음, 거래 요소가 많다.",
129,하층구,"도시의 그늘진 저지대나 지하층 지형이다. 범죄, 누수, 버려진 통로가 얽힌다.",
130,운하거리,수로와 다리가 교차하는 도시 지형이다. 보트 추격과 다층 이동에 적합하다.,
131,지붕길,"건물 지붕과 굴뚝, 난간이 이어진 고지대 지형이다. 은밀한 이동과 추격에 좋다.",
132,시계탑,"톱니바퀴와 종, 좁은 계단이 있는 수직 구조 지형이다. 시간 장치와 낙하 위험을 다룬다.",
133,감옥,"감방과 철문, 감시 복도가 이어진 지형이다. 탈옥, 구출, 심문 장면에 적합하다.",
134,재판소,"법정과 방청석, 기록실이 연결된 시설 지형이다. 사회적 대립과 공개 폭로에 어울린다.",
135,처형장,"형틀과 광장, 경비선이 있는 도시 지형이다. 군중, 시간 제한, 도덕적 선택을 만들기 좋다.",
136,목욕탕,"수증기와 물웅덩이, 미끄러운 바닥이 있는 실내 지형이다. 시야 차단과 기습에 적합하다.",
137,연금술점,"약품과 유리병, 불안정한 재료가 가득한 실내 지형이다. 폭발과 독성 위험이 있다.",
138,도박장,"테이블과 관중, 은밀한 거래가 있는 실내 지형이다. 정보전과 난장판 전투에 적합하다.",
139,지하격투장,"도시 아래 숨겨진 원형 전투 공간이다. 관중, 배팅, 불법 조직을 연결하기 좋다.",
140,밀수창고,"숨겨진 화물과 비밀 출입구가 있는 지형이다. 추적, 검문, 증거 확보에 어울린다.",
141,성벽참호,성벽 아래나 전선 근처에 파인 낮은 방어 지형이다. 엄폐와 돌파가 핵심이다.,
142,공성진지,"투석기와 방책, 보급품이 배치된 군사 지형이다. 전쟁 장면의 전초 거점으로 좋다.",
143,폐병영,낡은 침상과 무기 걸이가 남은 군사 시설 지형이다. 과거 전투의 흔적을 남기기 좋다.,
144,훈련장,"허수아비와 무기 거치대, 모래 바닥이 있는 지형이다. 결투와 실력 검증 장면에 적합하다.",
145,전쟁터,"부서진 병기와 시체 흔적이 남은 평야 지형이다. 언데드, 저주, 전쟁 회상에 어울린다.",
146,깃발능선,군대의 깃발이나 표식이 세워진 고지 지형이다. 지휘권과 사기 요소를 강조하기 좋다.,
147,전차길,"무거운 전차나 수레가 반복해서 지나간 흙길 지형이다. 추격과 기습, 진흙 장애물이 어울린다.",
148,방책선,나무 말뚝과 가시 울타리로 만든 방어 지형이다. 접근 경로가 제한된다.,
149,검문소,"길목을 통제하는 작은 군사·행정 지형이다. 신분 확인, 잠입, 충돌 장면에 적합하다.",
150,봉화대,먼 곳에 신호를 보내는 높은 시설 지형이다. 방어와 시간 제한형 목표에 좋다.,
151,순례길,"종교적 목적지로 이어지는 긴 이동로 지형이다. 만남, 습격, 신앙 떡밥을 배치하기 좋다.",
152,왕도,"왕국의 중심으로 이어지는 넓은 도로 지형이다. 행렬, 검문, 정치적 사건에 적합하다.",
153,고갯길,산길이 가장 높게 솟은 경계 지형이다. 시야 확보와 매복이 동시에 가능하다.,
154,철교,"강이나 협곡을 가로지르는 금속 다리 지형이다. 진동, 소음, 파괴 위험이 있다.",
155,나루터,"강을 건너기 위한 배와 간이 시설이 있는 지형이다. 대기, 교섭, 추격 차단에 적합하다.",
156,마차역,여행자와 짐수레가 모이는 교통 지형이다. 정보 수집과 사건 도입에 좋다.,
157,폐터널,"무너졌거나 봉쇄된 통로 지형이다. 우회, 발굴, 숨겨진 위협을 만들 수 있다.",
158,국경지대,두 세력의 경계가 표식과 초소로 나뉜 지형이다. 긴장과 외교적 충돌에 어울린다.,
159,세관창고,"물품 검사와 압류품 보관이 이루어지는 지형이다. 밀수, 증거, 뇌물 장면에 적합하다.",
160,삼거리,표식이 지워지거나 왜곡된 갈림길 지형이다. 선택과 미로형 전개에 좋다.,
161,침수거리,물에 잠긴 도시 거리 지형이다. 이동이 느려지고 부유물과 수중 위험이 생긴다.,
162,무너진 제방,강물이나 바닷물이 터져 나온 재난 지형이다. 구조와 방어가 동시에 요구된다.,
163,산사태지,흙과 바위가 흘러내린 경사 지형이다. 통로가 막히고 추가 붕괴가 위협한다.,
164,균열도시,"지진이나 재앙으로 갈라진 건물과 도로가 있는 도시 지형이다. 틈, 추락, 구조물이 핵심이다.",
165,불타는 숲,"화재가 진행 중인 숲 지형이다. 시야, 연기, 시간 제한이 강하게 작동한다.",
166,잿빛평야,불이나 재앙 이후 잿빛으로 변한 평야 지형이다. 흔적 추적과 참상 연출에 적합하다.,
167,독늪,유독성 기체와 탁한 물이 고인 늪 지형이다. 호흡과 중독 위험이 중심이다.,
168,역병촌,"질병으로 폐쇄되거나 버려진 마을 지형이다. 공포, 격리, 치료 선택지를 제공한다.",
169,붕괴지하,건물 아래층이 붕괴되어 생긴 실내·지하 혼합 지형이다. 잔해와 좁은 통로가 많다.,
170,균류지대,"거대한 버섯과 포자가 퍼진 지형이다. 독성, 환각, 생태 변이가 어울린다.",
171,석화숲,"나무와 생물이 돌처럼 굳어 있는 지형이다. 저주, 고대 마법, 정지된 시간을 암시한다.",
172,피의 전장,대량 학살이나 희생의 흔적이 남은 지형이다. 언데드와 원한 계열 사건에 적합하다.,
173,늪길,밟을수록 아래로 꺼지는 진흙길 지형이다. 이동 제한과 구조 장면에 좋다.,
174,붕괴탑,기울고 금이 간 수직 구조 지형이다. 층별 전투와 시간 제한에 적합하다.,
175,거울회랑,"거울이나 반사면이 끝없이 이어지는 지형이다. 환영, 시야 교란, 분신 연출에 좋다.",
176,역중력실,중력 방향이 비정상적으로 바뀌는 실내 지형이다. 이동과 낙하 규칙을 변형할 수 있다.,
177,정체구역,일부 사물이나 생물이 느리게 움직이는 지형이다. 퍼즐과 기묘한 전투에 적합하다.,
178,반복복도,같은 구조가 계속 되풀이되는 미궁 지형이다. 길찾기와 정신적 압박을 만든다.,
179,환영정원,실제 식물과 환상이 뒤섞인 정원 지형이다. 단서와 속임수를 배치하기 좋다.,
180,마력폭풍,"불안정한 마력이 소용돌이치는 지형이다. 주문 실패, 변이, 돌발 효과를 넣기 좋다.",
181,차원문 폐허,망가진 차원문과 주변 잔해가 있는 지형이다. 외부 존재와 공간 왜곡에 적합하다.,
182,별빛성소,"천장이나 바닥에 별빛 문양이 흐르는 신비 지형이다. 예언, 의식, 천문 단서에 좋다.",
183,꿈광장,"현실과 꿈이 뒤섞인 광장 지형이다. 기억, 상징, 비논리적 장면을 다룰 수 있다.",
184,무음지대,"소리가 사라지거나 왜곡되는 지형이다. 은신, 공포, 의사소통 장애를 만들기 좋다.",
185,살아있는 벽,벽면이 맥동하거나 움직이는 던전 지형이다. 던전 자체가 생물처럼 느껴진다.,
186,그림자샘,어둠이 액체처럼 고인 신비 지형이다. 그림자 몬스터나 저주와 연결하기 좋다.,
187,뒤집힌 방,가구와 출입구가 천장과 벽에 붙은 비정상 실내 지형이다. 공간 퍼즐에 적합하다.,
188,기억보관실,사람의 기억이나 기록이 물리적으로 보관된 지형이다. 정보 획득과 대가 선택에 좋다.,
189,별가루사막,밤하늘 같은 입자가 모래처럼 쌓인 초현상 지형이다. 신비한 이동과 환각에 어울린다.,
190,공허틈,바닥이나 벽 너머로 끝없는 어둠이 보이는 지형이다. 추락보다 존재 소실의 공포를 준다.,
191,함정복도,"압력판과 날붙이, 낙하 구덩이가 배치된 던전 지형이다. 고전적인 탐색 긴장을 만든다.",
192,수문실,물길을 여닫는 장치와 수로가 있는 던전 지형이다. 침수와 퍼즐 진행에 적합하다.,
193,감시실,"던전의 여러 구역을 관찰하는 방 지형이다. 경보, 지도, 통제 장치가 배치된다.",
194,고문실,고문 도구와 쇠사슬이 남은 실내 지형이다. 잔혹한 과거와 포로 구출에 어울린다.,
195,무기고,"무기와 갑옷, 탄약이 보관된 던전 지형이다. 보상과 위험물이 동시에 존재한다.",
196,병기실험실,마법 병기나 전쟁 도구를 시험하던 지형이다. 폭주 장치와 미완성 무기를 배치하기 좋다.,
197,균열계단,깨진 계단과 낙하 구간이 반복되는 수직 지형이다. 등반과 추락 위험이 중심이다.,
198,회전방,방 자체가 돌아가며 출구가 바뀌는 던전 지형이다. 방향 감각과 시간 관리가 중요하다.,
199,보물실,"보물과 함정, 봉인이 함께 있는 실내 지형이다. 탐욕과 신중함을 시험한다.",
200,괴수우리,거대한 생물을 가두던 울타리와 쇠사슬이 있는 지형이다. 탈출한 흔적과 추격에 좋다.,
201,표본실,"병과 석관, 보존된 생물이 늘어선 연구 지형이다. 실험체와 단서 배치에 적합하다.",
202,마법승강기,"수직 이동을 위한 마법 장치가 있는 지형이다. 고장, 추락, 층 이동 연출에 좋다.",
203,비밀예배실,던전 깊숙한 곳에 감춰진 작은 의식 공간이다. 비밀 신앙과 배신 단서에 어울린다.,
204,왕가 지하실,"왕족의 유해나 비밀이 묻힌 지하 지형이다. 계승, 저주, 봉인과 연결하기 좋다.",
205,괴물둥지,"뼈와 잔해, 먹잇감 흔적이 모인 지형이다. 강한 포식자의 영역을 나타낸다.",
206,동력핵실,던전이나 시설을 움직이는 핵심 장치가 있는 지형이다. 최종 목표나 파괴 선택지에 적합하다.,
207,금속통로,"차갑고 울림이 큰 금속 복도 지형이다. 소음, 반향, 기계 장치가 특징이다.",
208,수정제어실,수정 장치로 문이나 결계를 통제하는 지형이다. 퍼즐과 전투 목표를 결합하기 좋다.,
209,격리실,위험한 대상이 봉인되어 있던 방 지형이다. 파손된 문과 경고문이 긴장을 만든다.,
210,의식계단,"제단이나 성소로 이어지는 넓은 계단 지형이다. 행렬, 결전, 제물 장면에 적합하다.",
211,정령석 광산,정령석을 캐내던 광맥과 장비가 남은 지형이다. 자원 갈등과 부작용을 연결하기 좋다.,
212,정령봉인소,정령이나 자연 현상을 억누르기 위해 만든 봉인 지형이다. 해방과 유지 선택지를 만든다.,
